importance,name
81,shop_id_item_pv_level_min
81,user_id_shop_review_num_level_max
80,item_pv_level_all
80,item_brand_id_shop_score_delivery_max
80,item_id_shop_score_delivery_median
80,user_star_level_shop_score_service_skew
79,item_id_shop_score_delivery_mean
79,user_star_level_all
79,shop_id_instance_id_cnt
77,item_id_shop_score_service_max
77,item_brand_id_context_page_id_mean
77,user_age_level
77,item_id_instance_id_cnt
76,user_id_item_collected_level_median
75,user_id_shop_review_positive_rate_max
75,user_age_level_1
75,shop_score_description
75,shop_review_num_level_all
74,item_brand_id_shop_star_level_skew
72,item_id_shop_score_service_min
72,user_star_level_instance_id_cnt
71,item_pv_level_1
70,user_id_item_pv_level_median
70,user_age_level_item_price_level_skew
69,user_id_item_sales_level_median
68,shop_id_all
68,shop_review_num_level_1
68,user_star_level_item_sales_level_skew
68,item_price_level_rate
68,user_id_shop_review_num_level_min
67,user_id_item_price_level_max
67,item_collected_level_1
67,user_age_level_item_sales_level_std
66,item_city_id_context_page_id_std
66,user_id_item_collected_level_max
66,shop_star_level_1
65,user_star_level
65,item_brand_id_shop_star_level_std
65,item_brand_id_shop_review_num_level_skew
65,user_star_level_item_pv_level_std
65,item_collected_level_shop_review_positive_rate_skew
64,item_category_1_1
64,how_many_hour_cnt_ratio
64,shop_id_item_collected_level_min
64,item_id_shop_score_description_min
63,item_sales_level
62,item_sales_level_shop_review_positive_rate_std
62,item_sales_level_shop_review_num_level_skew
61,user_star_level_shop_score_delivery_skew
61,item_brand_id_instance_id_cnt
61,user_id_shop_star_level_max
61,shop_review_num_level_item_sales_level_skew
61,user_age_level_item_collected_level_mean
60,item_brand_id_shop_review_positive_rate_std
60,user_occupation_id_all
60,user_star_level_item_pv_level_skew
60,item_price_level_1
60,item_brand_id_item_id_cnt
60,item_brand_id_shop_review_num_level_std
59,item_city_id_shop_score_description_skew
59,item_city_id_context_page_id_skew
58,item_brand_id_shop_score_description_median
58,item_collected_level_user_age_level_skew
57,user_star_level_shop_score_delivery_min
57,item_collected_level_shop_score_description_skew
57,user_star_level_item_price_level_skew
55,user_id_shop_star_level_median
55,item_id_shop_score_service_mean
55,user_star_level_context_page_id_skew
54,user_star_level_item_id_cnt
54,item_city_id_shop_review_positive_rate_skew
54,item_brand_id_shop_review_positive_rate_min
53,user_star_level_shop_score_service_min
52,item_city_id_user_star_level_std
52,item_id_shop_score_description_max
51,item_category_1_rate
51,item_category_1_shop_score_service_min
51,item_city_id_context_page_id_mean
50,item_id_shop_score_description_median
50,item_id_shop_review_positive_rate_max
50,item_sales_level_shop_score_service_median
50,item_city_id_user_age_level_skew
50,user_gender_id_all
50,user_gender_id
50,same_time_expo_cnt
49,user_timezone_freq_noon
49,shop_star_level_item_price_level_mean
49,shop_review_num_level_item_sales_level_std
49,shop_id_item_category_1_1
49,item_city_id_user_age_level_mean
48,user_star_level_shop_review_positive_rate_mean
48,user_star_level_shop_review_num_level_mean
48,item_category_1_context_page_id_std
48,user_id_item_category_1_cnt
47,user_star_level_item_sales_level_std
47,item_id_shop_score_service_median
46,shop_id_user_gender_id_1
45,user_age_level_item_price_level_mean
45,item_sales_level_user_age_level_mean
45,item_sales_level_shop_score_description_skew
45,item_id_shop_score_description_mean
45,how_many_timezone_cnt
44,user_age_level_item_price_level_std
44,shop_id_item_price_level_min
44,shop_id_item_price_level_max
44,item_collected_level_shop_score_service_median
44,item_sales_level_user_id_cnt
43,user_id_all
43,item_city_id_shop_star_level_mean
43,user_star_level_item_price_level_mean
43,user_id_shop_star_level_min
43,item_collected_level_shop_score_delivery_skew
43,item_sales_level_shop_review_positive_rate_skew
42,user_star_level_shop_star_level_mean
42,item_collected_level_user_id_cnt
42,item_city_id_shop_star_level_skew
42,shop_review_num_level_item_price_level_mean
42,user_id_item_sales_level_max
41,item_category_1_shop_score_description_min
41,shop_star_level_item_collected_level_std
41,item_id_context_page_id_max
41,shop_star_level_item_pv_level_skew
40,shop_review_num_level_item_pv_level_skew
40,item_city_id_user_age_level_std
40,shop_id_item_sales_level_median
40,user_id_item_category_1_all
40,item_property_1_min
40,item_category_1_all
39,user_age_level_item_sales_level_skew
39,user_star_level_shop_score_description_min
39,shop_id_item_brand_id_1
39,shop_review_num_level_item_collected_level_std
39,item_city_id_shop_review_positive_rate_std
39,user_star_level_item_collected_level_skew
39,shop_id_item_sales_level_max
39,item_sales_level_shop_score_delivery_skew
38,user_star_level_shop_score_description_skew
38,user_id_item_pv_level_max
38,shop_star_level_item_price_level_std
38,shop_id_1
38,shop_review_num_level_item_collected_level_skew
38,item_id_1
38,item_sales_level_shop_review_num_level_std
37,item_collected_level_shop_score_service_mean
36,user_age_level_shop_score_delivery_std
36,shop_review_num_level_user_age_level_skew
36,item_collected_level_shop_score_service_skew
36,user_star_level_shop_score_service_std
36,item_pv_level_shop_score_description_skew
36,item_brand_id_shop_review_positive_rate_median
36,item_sales_level_shop_score_service_mean
35,item_pv_level_user_age_level_mean
35,shop_star_level_item_collected_level_skew
35,item_city_id_shop_score_delivery_std
35,user_occupation_id_item_price_level_std
35,item_collected_level_shop_review_num_level_skew
34,user_occupation_id_1
34,item_sales_level_shop_score_description_median
34,item_city_id_shop_score_service_skew
34,item_city_id_shop_review_positive_rate_min
34,item_city_id_shop_score_service_std
34,shop_review_num_level_item_price_level_skew
34,item_pv_level_shop_review_positive_rate_skew
34,shop_review_positive_rate
34,user_age_level_item_collected_level_skew
34,user_id_item_id_all
34,hour_cnvt_all
34,user_age_level_shop_review_num_level_skew
34,item_brand_id_shop_review_num_level_min
33,shop_review_num_level_user_id_cnt
33,user_star_level_item_city_id_cnt
33,item_id_user_gender_id_1
33,item_collected_level_user_age_level_mean
33,user_age_level_shop_review_positive_rate_skew
33,item_sales_level_shop_review_positive_rate_min
33,item_city_id_user_id_cnt
32,item_collected_level_user_age_level_std
32,item_pv_level_shop_score_service_median
32,item_city_id_shop_review_num_level_skew
32,item_city_id_shop_review_num_level_mean
32,user_age_level_shop_score_delivery_min
31,item_city_id_shop_score_description_std
31,item_id_context_page_id_median
31,shop_star_level_item_pv_level_std
31,item_id_shop_review_positive_rate_median
31,shop_star_level_item_sales_level_std
30,shop_review_num_level_user_star_level_std
30,item_sales_level_instance_id_cnt
30,item_city_id_shop_score_description_min
29,item_city_id_shop_score_description_mean
29,item_city_id_user_star_level_skew
29,item_id_user_occupation_id_cnt
29,user_age_level_item_pv_level_skew
28,item_pv_level_shop_score_service_skew
28,user_gender_id_1
28,item_city_id_shop_star_level_std
28,item_id_shop_review_positive_rate_min
